SL No,Launch Date,Launch Vehicle,Launch Vehicle,Orbit Type,Application,Remarks
66,GSAT-7,30-Aug-13,Ariane-5 VA-215,GSO (Geosynchronous Orbit),Communication,Launch successful
65,INSAT-3D,26-Jul-13,Ariane-5 VA-214,GSO (Geosynchronous Orbit),"Climate & Environment, Disaster Management System",Launch successful
64,IRNSS-1A,01-Jul-13,PSLV-C22/IRNSS-1A,GSO (Geosynchronous Orbit),Navigation,Launch successful
63,SARAL,25-Feb-13,PSLV-C20/SARAL,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful
62,GSAT-10,29-Sep-12,Ariane-5 VA-209,GEO,"Communication, Navigation",Launch successful
61,RISAT-1,26-Apr-12,PSLV-C19/RISAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
60,Megha-Tropiques,12-Oct-11,PSLV-C18/Megha-Tropiques,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful
59,GSAT-12,15-Jul-11,PSLV-C17/GSAT-12,GSO (Geosynchronous Orbit),Communication,Launch successful
58,GSAT-8,21-May-11,Ariane-5 VA-202,GEO,"Communication, Navigation",Launch successful
57,RESOURCESAT-2,20-Apr-11,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
56,YOUTHSAT,20-Apr-11,PSLV-C16/RESOURCESAT-2,SSPO (Sun Synchronous Polar Orbit),Student Satellite,Launch successful
55,GSAT-5P,25-Dec-10,GSLV-F06 / GSAT-5P,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
54,CARTOSAT-2B,12-Jul-10,PSLV-C15/CARTOSAT-2B,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
53,GSAT-4,15-Apr-10,GSLV-D3 / GSAT-4,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
52,Oceansat-2,23-Sep-09,PSLV-C14 / OCEANSAT-2,SSPO (Sun Synchronous Polar Orbit),"Climate & Environment, Earth Observation",Launch successful
51,RISAT-2,20-Apr-09,PSLV-C12 / RISAT-2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
50,Chandrayaan-1,22-Oct-08,PSLV-C11,Lunar,Planetary Observation,Launch successful
49,IMS-1,28-Apr-08,PSLV-C9 / CARTOSAT – 2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
48,CARTOSAT – 2A,28-Apr-08,PSLV-C9 / CARTOSAT – 2A,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
47,INSAT-4CR,02-Sep-07,GSLV-F04 / INSAT-4CR,GSO (Geosynchronous Orbit),Communication,Launch successful
46,INSAT-4B,12-Mar-07,Ariane5,GSO (Geosynchronous Orbit),Communication,Decommisioned
45,CARTOSAT-2,10-Jan-07,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
44,SRE-1,10-Jan-07,PSLV-C7 / CARTOSAT-2 / SRE-1,SSPO (Sun Synchronous Polar Orbit),Experimental,Launch successful
43,INSAT-4C,10-Jul-06,GSLV-F02 / INSAT-4C,GSO (Geosynchronous Orbit),Communication,Launch unsuccessful
42,INSAT-4A,22-Dec-05,Ariane5-V169,GSO (Geosynchronous Orbit),Communication,Launch successful
41,CARTOSAT-1,05-May-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
40,HAMSAT,05-May-05,PSLV-C6/CARTOSAT-1/HAMSAT,SSPO (Sun Synchronous Polar Orbit),Communication,Launch successful
39,EDUSAT,20-Sep-04,GSLV-F01 / EDUSAT (GSAT-3),GSO (Geosynchronous Orbit),Communication,Launch successful
38,IRS-P6 / RESOURCESAT-1,17-Oct-03,PSLV-C5 /RESOURCESAT-1,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
37,INSAT-3E,28-Sep-03,Ariane5-V162,GSO (Geosynchronous Orbit),Communication,Launch successful
36,GSAT-2,08-May-03,GSLV-D2 / GSAT-2,GSO (Geosynchronous Orbit),Communication,Launch successful
35,INSAT-3A,10-Apr-03,Ariane5-V160,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful
34,KALPANA-1,12-Sep-02,PSLV-C4 /KALPANA-1,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful
33,INSAT-3C,24-Jan-02,Ariane5-V147,GSO (Geosynchronous Orbit),"Climate & Environment, Communication",Launch successful
32,The Technology Experiment Satellite (TES),22-Oct-01,PSLV-C3 / TES,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
31,GSAT-1,18-Apr-01,GSLV-D1 / GSAT-1,GSO (Geosynchronous Orbit),Communication,Launch successful
30,INSAT-3B,22-Mar-00,Ariane-5G,GSO (Geosynchronous Orbit),Communication,Launch successful
29,Oceansat(IRS-P4),26-May-99,PSLV-C2/IRS-P4,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
28,INSAT-2E,03-Apr-99,Ariane-42P H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful
27,IRS-1D,29-Sep-97,PSLV-C1 / IRS-1D,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
26,INSAT-2D,04-Jun-97,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Failed in Orbit
25,IRS-P3,21-Mar-96,PSLV-D3 / IRS-P3,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
24,IRS-1C,28-Dec-95,Molniya,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
23,INSAT-2C,07-Dec-95,Ariane-44L H10-3,GSO (Geosynchronous Orbit),Communication,Launch successful
22,IRS-P2,15-Oct-94,PSLV-D2,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
21,SROSS-C2,04-May-94,ASLV-D4,,Experimental,Launch successful
20,IRS-1E,20-Sep-93,PSLV-D1,LEO (Low Earth Orbit),Earth Observation,Launch unsuccessful
19,INSAT-2B,23-Jul-93,Ariane-44L H10+,GSO (Geosynchronous Orbit),Communication,Launch successful
18,INSAT-2A,10-Jul-92,Ariane-44L H10,GSO (Geosynchronous Orbit),Communication,Launch successful
17,SROSS-C,20-May-92,ASLV-D3,,Experimental,Launch successful
16,IRS-1B,29-Aug-91,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
15,INSAT-1D,12-Jun-90,Delta 4925,GSO (Geosynchronous Orbit),Communication,Launch successful
14,INSAT-1C,22-Jul-88,Ariane-3,GSO (Geosynchronous Orbit),Communication,Partial Failure in Orbit
13,SROSS-2,13-Jul-88,ASLV-D2,,"Earth Observation, Experimental",Launch unsuccessful
12,IRS-1A,17-Mar-88,Vostok,SSPO (Sun Synchronous Polar Orbit),Earth Observation,Launch successful
11,SROSS-1,24-Mar-87,ASLV-D1,,Experimental,Launch unsuccessful
10,INSAT-1B,30-Aug-83,Shuttle [PAM-D],GSO (Geosynchronous Orbit),Communication,Launch successful
9,Rohini Satellite RS-D2,17-Apr-83,SLV-3,LEO (Low Earth Orbit),Earth Observation,Launch successful
8,INSAT-1A,10-Apr-82,Delta,GSO (Geosynchronous Orbit),Communication,Failed in Orbit
7,Bhaskara-II,20-Nov-81,C-1 Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful
6,APPLE,19-Jun-81,Ariane -1(V-3),GSO (Geosynchronous Orbit),"Communication, Experimental",Launch successful
5,Rohini Satellite RS-D1,31-May-81,SLV-3D1,LEO (Low Earth Orbit),Earth Observation,Launch successful
4,Rohini Satellite RS-1,18-Jul-80,SLV-3E2,,,Launch successful
3,Rohini Technology Payload (RTP),10-Aug-79,SLV-3E1,,,Launch unsuccessful
2,Bhaskara-I,07-Jun-79,C-1Intercosmos,LEO (Low Earth Orbit),"Earth Observation, Experimental",Launch successful
1,Aryabhata,19-Apr-75,C-1 Intercosmos,,Experimental,Launch successful
